cutoff_year_after_ge,target,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,two_prop_p,full_distribution_chi2,full_distribution_df,full_distribution_p
2001,canopy_collision,1999-2000,2001-2025,3,59,0.05084745762711865,39,509,0.07662082514734773,2.5773367520229087,1.5068762278978387,0.4804992646233598,4.725659607374202,1.548936170212766,0.43893234749679977,4.184447804123253,0.6062391689555887,0.4738898570142265,10.458966242267582,7,0.16402142678909906
2001,all_collision,1999-2000,2001-2025,8,59,0.13559322033898305,74,509,0.14538310412573674,0.9789883786753689,1.0722003929273085,0.5443746329248376,2.1118061222228244,1.0844827586206895,0.48176647390503047,2.2298531311725287,1.0,0.8394943229795562,10.458966242267582,7,0.16402142678909906
2001,freefall_collision,1999-2000,2001-2025,5,59,0.0847457627118644,35,509,0.068762278978389,-1.5983483733475399,0.8113948919449903,0.330730044762625,1.9906315773244867,0.7974683544303798,0.2893365559902465,1.899540643875944,0.5934425051796353,0.6496574687324346,10.458966242267582,7,0.16402142678909906
2001,landing,1999-2000,2001-2025,21,59,0.3559322033898305,176,509,0.34577603143418467,-1.0156171955645832,0.971465993076995,0.6754294489021373,1.3972535210584385,0.9563849563849562,0.5422336372336195,1.656364167625445,0.8857674687416177,0.8766982033615338,10.458966242267582,7,0.16402142678909906
2002,canopy_collision,1999-2001,2002-2025,5,94,0.05319148936170213,37,474,0.07805907172995781,2.486758236825568,1.4675105485232067,0.5923118113773237,3.6359011734361166,1.5070938215102976,0.5539842629508478,3.511799272226206,0.5193529970306151,0.39997110472823616,18.97213033095691,7,0.008275095221967973
2002,all_collision,1999-2001,2002-2025,11,94,0.11702127659574468,71,474,0.14978902953586498,3.2767752940120296,1.2800153433064825,0.7058035406653794,2.3213814959831636,1.329348071283555,0.6611372811700666,2.503863378767246,0.5204103794689066,0.4089456175071027,18.97213033095691,7,0.008275095221967973
2002,freefall_collision,1999-2001,2002-2025,6,94,0.06382978723404255,34,474,0.07172995780590717,0.7900170571864623,1.1237693389592125,0.4855239324176275,2.601020141059839,1.1333333333333333,0.44737081128024403,2.5417834501491314,1.0,0.7844885206935177,18.97213033095691,7,0.008275095221967973
2002,landing,1999-2001,2002-2025,33,94,0.35106382978723405,164,474,0.3459915611814346,-0.5072268605799457,0.9855517197289348,0.7290668305244562,1.3322677038563733,0.9779081133919844,0.6131444529860284,1.5427885583884455,0.9999999999999999,0.9248022154288207,18.97213033095691,7,0.008275095221967973
2003,canopy_collision,1999-2002,2003-2025,5,127,0.03937007874015748,37,441,0.08390022675736962,4.453014801721214,2.1310657596371883,0.8554149402719757,5.309050681829445,2.234653465346535,0.8249524745007123,5.168248085151571,0.12195055552423645,0.09106872676308786,28.757422380715603,7,0.00016018791940334624
2003,all_collision,1999-2002,2003-2025,18,127,0.14173228346456693,64,441,0.14512471655328799,0.33924330887210585,1.0239355001259764,0.6309142362886936,1.6617851494136944,1.0279988211022693,0.578252522210562,1.7686942467675573,1.0,0.9236415576763557,28.757422380715603,7,0.00016018791940334624
2003,freefall_collision,1999-2002,2003-2025,13,127,0.10236220472440945,27,441,0.061224489795918366,-4.113771492849108,0.598116169544741,0.3180649823166144,1.124747998554465,0.5719063545150502,0.28409917818261876,1.1145249029795945,0.11729464000320008,0.11036112649982055,28.757422380715603,7,0.00016018791940334624
2003,landing,1999-2002,2003-2025,46,127,0.36220472440944884,151,441,0.3424036281179138,-1.9801096291535036,0.945331755890762,0.7255803455762296,1.231637728535501,0.9168665667166418,0.6064393158956153,1.3777009401276044,0.6737643741932454,0.6795268712703972,28.757422380715603,7,0.00016018791940334624
2004,canopy_collision,1999-2003,2004-2025,5,152,0.03289473684210526,37,416,0.0889423076923077,5.6047570850202435,2.703846153846154,1.0826905662810435,6.75242239228204,2.8701846965699205,1.061458658709374,6.615985619115959,0.028290071251559967,0.023829821819650876,39.57666372292763,7,1.516767759461029e-06
2004,all_collision,1999-2003,2004-2025,22,152,0.14473684210526316,60,416,0.14423076923076922,-0.05060728744939458,0.9965034965034963,0.6342466520893526,1.5656672609503934,0.995914198161389,0.5829164020738865,1.6620396967106563,0.9999999999999999,0.987878566562933,39.57666372292763,7,1.516767759461029e-06
2004,freefall_collision,1999-2003,2004-2025,17,152,0.1118421052631579,23,416,0.055288461538461536,-5.655364372469636,0.4943438914027149,0.27164267595481223,0.8996225725880829,0.4647507858105075,0.24165676030719438,0.8848095373530818,0.025718594879158705,0.019692863121277382,39.57666372292763,7,1.516767759461029e-06
