wind,jumpers,exitSeparationS,order,runs,below1000_median,below500_median,exposure_mean,exposure_median,exposure_p75,exposure_p90,exposure_p95,risk_per10k_mean,min_sep_median_ft,open_below_500_p90
light,8,4,belly_first,300,7,5,901.073,890.155,996.793,1098.378,1165.8,18.00443,0.1,6
light,8,4,freefly_first,300,4,3,464.071,464.26,508.243,549.13,596.884,9.27707,0.2,4
light,14,4,belly_first,300,11,7,2860.221,2841.12,3079.065,3423.991,3529.072,57.0378,0,9
light,14,4,freefly_first,300,6,5,1344.144,1329.07,1455.987,1572.777,1662.983,26.84597,0.3,5
readme_default,8,8,belly_first,300,6,4,810.468,791.9,917.357,1039.505,1098.289,16.19557,1.4,6
readme_default,8,8,freefly_first,300,4,3,348.675,337.69,399.215,457.6,481.677,6.97093,36.4,4
readme_default,14,8,belly_first,300,7,5,1597.074,1586.5,1731.093,1878.523,1946.894,31.88957,1.3,6
readme_default,14,8,freefly_first,300,5,4,875.574,867.645,943.977,1062.835,1100.357,17.4958,25.1,4
strong_upper,8,10,belly_first,300,6,4,694.047,679.105,785.45,902.197,970.896,13.8712,275.5,5
strong_upper,8,10,freefly_first,300,3,3,304.268,294.52,352.387,398.338,429.111,6.0832,2.3,3
strong_upper,14,10,belly_first,300,6,4,1179.739,1174.055,1302.418,1393.487,1471.247,23.56667,4.2,5
strong_upper,14,10,freefly_first,300,4,3,694.622,675.03,772.445,847.922,912.188,13.88247,2.7,4
