period,cause,observed,expected,std_residual
after,other_rare_or_unknown,43,26.904929577464788,3.1029655319467757
after,reserve_problem,9,22.420774647887324,-2.83434216282083
after,medical,22,15.445422535211268,1.667803203475293
after,no_pull_or_low_pull,21,27.403169014084508,-1.2231918272848108
after,freefall_collision,15,19.929577464788732,-1.1042328173738591
after,canopy_collision,23,20.926056338028168,0.4533705017564914
after,malfunction,50,51.816901408450704,-0.2524036564452601
after,landing,100,98.15316901408451,0.1864124822420371
before,other_rare_or_unknown,11,27.095070422535212,-3.092058765222686
before,reserve_problem,36,22.579225352112676,2.8243795936372966
before,medical,9,15.554577464788732,-1.6619409596653907
before,no_pull_or_low_pull,34,27.596830985915492,1.2188923699490284
before,freefall_collision,25,20.070422535211268,1.1003514949343458
before,canopy_collision,19,21.073943661971832,-0.4517769273995313
before,malfunction,54,52.183098591549296,0.25151647037348035
before,landing,97,98.84683098591549,-0.18575725180607514
