year,total_fatalities,unknown_primary_count,canopy_collision_count,canopy_collision_pct,canopy_collision_ci95_low,canopy_collision_ci95_high,freefall_collision_count,freefall_collision_pct,all_collision_count,all_collision_pct,landing_count,landing_pct,malfunction_count,malfunction_pct,no_pull_or_low_pull_count,no_pull_or_low_pull_pct,reserve_problem_count,reserve_problem_pct,medical_count,medical_pct,other_rare_or_unknown_count,other_rare_or_unknown_pct
1999,27,0,1,0.037037037037037035,0.006567976533097597,0.1828385393415652,3,0.1111111111111111,4,0.14814814814814814,10,0.37037037037037035,5,0.18518518518518517,2,0.07407407407407407,4,0.14814814814814814,0,0.0,2,0.07407407407407407
2000,32,0,2,0.0625,0.017310203195157234,0.2014746724800358,2,0.0625,4,0.125,11,0.34375,3,0.09375,5,0.15625,6,0.1875,2,0.0625,1,0.03125
2001,35,0,2,0.05714285714285714,0.015812829614043955,0.1860738073937003,1,0.02857142857142857,3,0.08571428571428572,12,0.34285714285714286,7,0.2,5,0.14285714285714285,6,0.17142857142857143,2,0.05714285714285714,0,0.0
2002,33,0,0,0.0,0.0,0.10427343003561192,7,0.21212121212121213,7,0.21212121212121213,13,0.3939393939393939,4,0.12121212121212122,4,0.12121212121212122,4,0.12121212121212122,0,0.0,1,0.030303030303030304
2003,25,0,0,0.0,0.0,0.13319649395317873,4,0.16,4,0.16,11,0.44,4,0.16,1,0.04,4,0.16,0,0.0,1,0.04
2004,21,0,0,0.0,0.0,0.15464382326420195,1,0.047619047619047616,1,0.047619047619047616,8,0.38095238095238093,9,0.42857142857142855,2,0.09523809523809523,0,0.0,0,0.0,1,0.047619047619047616
2005,27,0,0,0.0,6.938893903907228e-18,0.12455903714463581,4,0.14814814814814814,4,0.14814814814814814,8,0.2962962962962963,6,0.2222222222222222,5,0.18518518518518517,3,0.1111111111111111,0,0.0,1,0.037037037037037035
2006,21,0,0,0.0,0.0,0.15464382326420195,3,0.14285714285714285,3,0.14285714285714285,9,0.42857142857142855,3,0.14285714285714285,3,0.14285714285714285,3,0.14285714285714285,0,0.0,0,0.0
2007,18,0,5,0.2777777777777778,0.12499569146355474,0.5087307754619452,0,0.0,5,0.2777777777777778,4,0.2222222222222222,3,0.16666666666666666,1,0.05555555555555555,1,0.05555555555555555,3,0.16666666666666666,1,0.05555555555555555
2008,30,0,5,0.16666666666666666,0.07336434240351683,0.33564705185680177,0,0.0,5,0.16666666666666666,8,0.26666666666666666,5,0.16666666666666666,6,0.2,5,0.16666666666666666,0,0.0,1,0.03333333333333333
2009,16,0,4,0.25,0.10181901984237346,0.49498768929398645,0,0.0,4,0.25,3,0.1875,5,0.3125,0,0.0,0,0.0,2,0.125,2,0.125
