year,total_fatalities,landing,intentional_low_turn,unintentional_low_turn,non_turn_landing,medical,incorrect_emergency_procedures,equipment_problem,malfunction,no_pull_or_low_pull,low_deployment,canopy_collision,freefall_collision,reserve_problem,cutaway_low_or_no_reserve,other,notes,source_url
1999,27,10,,,,0,,0,5,2,0,1,3,4,0,2,"Parachutist May 2000 'Dress for Success' says 27 U.S. skydiving deaths, second lowest in the last ten years, none tandem/AFF/IAD student, one static-line fatality. Category chart and 'The Numbers' box cover statistics on 25 who died in 1999: landings 10/40%, malfunctions 5/20%, reserve problems 4/16%, collisions 4/16%, no pull/low pull 2/8%. Article notes two jumpers committed suicide during skydives and does not address them in the category report; recorded here as other=2. Collision text breaks down as three freefall collisions and one canopy collision. The Numbers: average age 38, average jumps 694, median jumps 225, female 2/8%, male 23/92%.",local:/mnt/synology-backup/parachutist/1999 Summary/
2000,32,11,,,,2,,0,3,5,0,2,2,6,0,1,"Parachutist May 2001 'A Momentary Lapse of Judgment' says official U.S. total for 2000 was 30, but two incidental deaths are included in the article; category chart totals 32. Categories: landing problems 11/34%, reserve problems 6/19%, no pull/low pull 5/16%, collisions 4/13%, malfunctions 3/6%, other 3/9%. Other includes two apparent heart-failure deaths and one unusual harness/no-handle case; recorded as medical=2 and other=1. Collision text identifies two canopy collisions and two freefall/opening/formation collisions. Who's Dying box: average age 37, median age 35, average jumps 693, median jumps 300, average years jumping 8, median 4, male 30/94%, female 2/6%.",local:/mnt/synology-backup/parachutist/May-2001/pages/page-026.jpg..page-033.jpg
2001,35,12,,,,2,,0,7,5,0,2,1,6,0,0,"Parachutist April 2002 'If It Can Go Wrong, It Will: The 2001 Fatality Summary' by Paul Sitter. Categories from chart/section headings: landings 12/34%, malfunctions 7/20%, reserve problems 6/17%, no pull/low pull 5/14%, collisions 3/9%, other 2/6%. Other section says both other deaths resulted from medical problems, recorded as medical=2 and other=0. Collision section describes one freefall/aircraft collision and two canopy/landing-area collisions. Experience-level chart: student 14%, A license 6%, B license 9%, C license 3%, D license 68%. Stats text: average age 39, average jumps 873, median jumps 450, average time in sport 65 months, median 48 months, 80% male; most common activity was formation skydiving.",local:/mnt/synology-backup/parachutist/April-2002/pages/page-030.jpg..page-037.jpg
2002,33,13,,,,,,,4,4,,,7,4,,1,"Parachutist April 2003 fatality summary. Category chart: landings 39% (13), collisions 21% (7), no pull/low pull 12% (4), malfunctions 12% (4), reserve problems 12% (4), other 3% (1). Experience chart: students 13%, no license 9%, A 6%, B 6%, C 12%, D 54%. 'The Numbers' box: average age 36, median age 33, average jumps 1,015, median jumps 521, female 5/15%, male 28/85%.",local:/mnt/synology-backup/parachutist/April-2003/pages/page-032.jpg..page-037.jpg (magazine pp.30-35)
2003,25,11,,,,,,,4,1,,,4,4,,1,"Parachutist April 2004 'The Possibility of Failure' 2003 fatality summary. Deaths-by-category chart: landings 44% (11), malfunctions 16% (4), reserve problems 16% (4), collisions 16% (4), no pull/low pull 4% (1), other appears as 1 death; chart label is visually ambiguous (looks like 1% but totals require one death/4%). Collision split not yet parsed.",local:/mnt/synology-backup/parachutist/April-2004/pages/page-041.jpg..page-043.jpg (magazine pp.39-41)
2004,21,8,,,,,,,9,2,,,1,0,,1,"Parachutist April 2005 2004 fatality summary. Category chart: malfunctions 43% (9), landings 38% (8), no pull/low pull 10% (2), collisions 5% (1), other 5% (1), reserve problems 0. Total text/last-10-year chart indicates 21 deaths.",local:/mnt/synology-backup/parachutist/April-2005/pages/page-031.jpg..page-033.jpg (magazine pp.29-31)
2005,27,8,,,,,,,6,5,,,4,3,,1,"Parachutist March 2006 'Lowering the Odds: The 2005 Fatality Summary' by Paul Sitter. Text says 27 U.S. skydiving deaths. Category chart/section headings: landing problems 8/33%, malfunctions 6/22%, no pull/low pull 5/19%, collisions 4/15%, reserve 3/11%; remaining one death recorded as other to reconcile total. Experience chart: student 19%, B 26%, C 15%, D 41%.",local:/mnt/synology-backup/parachutist/March-2006/pages/page-030.jpg..page-035.jpg (magazine pp.28-33)
2006,21,9,,,,,,,3,3,,,3,3,,0,"Parachutist April 2007 'Overcoming the Odds: The 2006 Fatality Summary' by Paul Sitter. Intro says 21 U.S. deaths. Fatality Percentage by Category chart: landing 43% (9), no pull/low pull 14% (3), malfunctions 14% (3), reserve problems 14% (3), collisions 14% (3), other 0. USPA stats box: estimated U.S. skydives 2,122,749; tandem jumps 300,000; membership 30,618.",local:/mnt/synology-backup/parachutist/April-2007/pages/page-024.jpg..page-028.jpg (magazine pp.22-26)
2007,18,4,,,,3,,0,3,1,0,5,0,1,0,1,"Parachutist April 2008 'Every One a Heartbreak: The 2007 Fatality Summary' by Paul Sitter. Source categories: No Pull/Low Pull 1; Malfunction 3; Reserve Problems 1; Collisions 5; Landing 4; Other 4. Other included three medical deaths and one canopy-formation incident; normalized as medical=3, other=1. Collision text says all five were under open canopies. Stats box: average age 44, median age 44, average jumps 1,650, median jumps 1,347, average/median years in sport 12.",local:/mnt/synology-backup/parachutist/April-2008/pages/page-024.jpg..page-029.jpg (magazine pp.22-27)
2008,30,8,,,,0,,0,5,6,0,5,0,5,0,1,"Parachutist April 2009 'Back to the Bad Old Days: The 2008 Fatality Summary' by Paul Sitter. Source categories: No Pull/Low Pull 6; Malfunctions 5; Reserve Problems 5; Collisions 6; Landing 8. Collision narrative includes one aircraft/tail strike normalized as other=1; remaining five treated as canopy collisions. Demographics box: average jumps 1,954, median 665; years in sport average 11, median 7; age average 43, median 42.",local:/mnt/synology-backup/parachutist/April-2009/pages/page-032.jpg..page-037.jpg (magazine pp.30-35)
